date,incid_hosp
2020-03-18,
2020-03-19,22.06930693069307
2020-03-20,12.435643564356436
2020-03-21,15.247524752475247
2020-03-22,15.188118811881187
2020-03-23,20.326732673267326
2020-03-24,25.92079207920792
2020-03-25,31.346534653465348
2020-03-26,30.663366336633665
2020-03-27,30.287128712871286
2020-03-28,33.198019801980195
2020-03-29,26.584158415841586
2020-03-30,30.77227722772277
2020-03-31,41.04950495049505
2020-04-01,42.386138613861384
2020-04-02,38.06930693069307
2020-04-03,35.91089108910891
2020-04-04,27.940594059405942
2020-04-05,19.11881188118812
2020-04-06,27.26732673267327
2020-04-07,32.445544554455445
2020-04-08,31.07920792079208
2020-04-09,29.603960396039604
2020-04-10,31.297029702970296
2020-04-11,20.237623762376238
2020-04-12,16.712871287128714
2020-04-13,12.445544554455445
2020-04-14,19.455445544554454
2020-04-15,23.91089108910891
2020-04-16,20.633663366336634
2020-04-17,21.445544554455445
2020-04-18,15.495049504950495
2020-04-19,8.811881188118813
2020-04-20,14.495049504950495
2020-04-21,18.663366336633665
2020-04-22,16.02970297029703
2020-04-23,13.96039603960396
2020-04-24,13.326732673267326
2020-04-25,9.891089108910892
2020-04-26,4.762376237623762
2020-04-27,9.544554455445544
2020-04-28,13.07920792079208
2020-04-29,10.594059405940595
2020-04-30,10.376237623762377
2020-05-01,6.6138613861386135
2020-05-02,4.485148514851486
2020-05-03,3.4158415841584158
2020-05-04,6.821782178217822
2020-05-05,9.772277227722773
2020-05-06,8.247524752475247
2020-05-07,7.207920792079208
2020-05-08,5.0495049504950495
2020-05-09,2.623762376237624
2020-05-10,2.504950495049505
2020-05-11,5.178217821782178
2020-05-12,6.633663366336633
2020-05-13,5.376237623762377
2020-05-14,5.366336633663367
2020-05-15,4.336633663366337
2020-05-16,3.4653465346534653
2020-05-17,1.504950495049505
2020-05-18,3.712871287128713
2020-05-19,5.00990099009901
2020-05-20,4.2772277227722775
2020-05-21,2.6831683168316833
2020-05-22,2.603960396039604
2020-05-23,2.3069306930693068
2020-05-24,1.198019801980198
2020-05-25,3.386138613861386
2020-05-26,3.1485148514851486
2020-05-27,2.6831683168316833
2020-05-28,2.504950495049505
2020-05-29,2.5247524752475248
2020-05-30,2.2475247524752477
2020-05-31,0.7128712871287128
2020-06-01,0.8811881188118812
2020-06-02,2.267326732673267
2020-06-03,2.4752475247524752
2020-06-04,1.9306930693069306
2020-06-05,2.108910891089109
2020-06-06,1.4158415841584158
2020-06-07,0.36633663366336633
2020-06-08,1.4356435643564356
2020-06-09,1.6732673267326732
2020-06-10,1.2871287128712872
2020-06-11,1.4158415841584158
2020-06-12,1.3465346534653466
2020-06-13,0.6732673267326733
2020-06-14,0.32673267326732675
2020-06-15,1.1287128712871286
2020-06-16,1.4158415841584158
2020-06-17,1.1485148514851484
2020-06-18,1.3465346534653466
2020-06-19,1.1485148514851484
2020-06-20,0.8910891089108911
2020-06-21,0.4752475247524752
2020-06-22,1.4059405940594059
2020-06-23,1.1584158415841583
2020-06-24,0.9603960396039604
2020-06-25,1.2277227722772277
2020-06-26,0.8613861386138614
2020-06-27,0.5445544554455446
2020-06-28,0.43564356435643564
2020-06-29,1.00990099009901
2020-06-30,1.504950495049505
2020-07-01,1.0495049504950495
2020-07-02,0.9207920792079208
2020-07-03,1.2376237623762376
2020-07-04,0.46534653465346537
2020-07-05,0.2079207920792079
2020-07-06,0.9702970297029703
2020-07-07,1.2574257425742574
2020-07-08,0.8217821782178217
2020-07-09,0.7821782178217822
2020-07-10,1.3465346534653466
2020-07-11,0.5643564356435643
2020-07-12,0.25742574257425743
2020-07-13,0.6732673267326733
2020-07-14,0.6039603960396039
2020-07-15,1.316831683168317
2020-07-16,1.1782178217821782
2020-07-17,1.1782178217821782
2020-07-18,0.6732673267326733
2020-07-19,0.3564356435643564
2020-07-20,1.3564356435643565
2020-07-21,1.0792079207920793
2020-07-22,1.306930693069307
2020-07-23,1.2178217821782178
2020-07-24,1.2475247524752475
2020-07-25,0.8514851485148515
2020-07-26,0.3564356435643564
2020-07-27,1.1683168316831682
2020-07-28,1.702970297029703
2020-07-29,1.1683168316831682
2020-07-30,1.1485148514851484
2020-07-31,1.504950495049505
2020-08-01,0.7623762376237624
2020-08-02,0.24752475247524752
2020-08-03,1.4059405940594059
2020-08-04,1.3762376237623761
2020-08-05,1.3564356435643565
2020-08-06,1.396039603960396
2020-08-07,1.3465346534653466
2020-08-08,0.7227722772277227
2020-08-09,0.13861386138613863
2020-08-10,1.7821782178217822
2020-08-11,1.891089108910891
2020-08-12,1.4158415841584158
2020-08-13,1.99009900990099
2020-08-14,1.7128712871287128
2020-08-15,0.8613861386138614
2020-08-16,0.32673267326732675
2020-08-17,2.3168316831683167
2020-08-18,1.8316831683168318
2020-08-19,1.603960396039604
2020-08-20,1.4752475247524752
2020-08-21,2.0792079207920793
2020-08-22,1.1287128712871286
2020-08-23,0.2871287128712871
2020-08-24,2.3069306930693068
2020-08-25,2.623762376237624
2020-08-26,2.128712871287129
2020-08-27,2.227722772277228
2020-08-28,2.386138613861386
2020-08-29,1.3366336633663367
2020-08-30,0.22772277227722773
2020-08-31,2.514851485148515
2020-09-01,2.9702970297029703
2020-09-02,3.1386138613861387
2020-09-03,3.0396039603960396
2020-09-04,2.891089108910891
2020-09-05,1.6633663366336633
2020-09-06,0.6534653465346535
2020-09-07,4.435643564356436
2020-09-08,4.851485148514851
2020-09-09,3.8217821782178216
2020-09-10,3.485148514851485
2020-09-11,4.425742574257426
2020-09-12,2.405940594059406
2020-09-13,0.9702970297029703
