value,datetime,price
BTC/USDT,2025-06-30T14:10:59.249Z,107220.52
BTC/USDT,2025-06-30T14:10:59.249Z,107220.52
BTC/USDT,2025-06-30T14:16:47.480Z,107629.36
BTC/USDT,2025-06-30T14:16:47.480Z,107629.36
